timestamp,consciencia_escopo,grupo_principal,grupo_alternativo,interesse_lideranca,objetivo_proposito,"7. O que você gostaria de viver no TechExperience?

Pode ser algum encontro temático pra aprender algo, pode ser uma reunião de interação, pode ser uma dinâmica de quebra-gelo, enfim, o que vier a sua cabeça, pode mandar que a gente avalia a possibilidade e realiza.",bagagem_contribuicao,contribuicao_grupo,compromisso_pessoal,expectativas_pos_projeto,participant_id,consciencia_escopo_padronizada
23/10/2025 08:43:32,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",Me encontrar na área para poder mudar de profissão.,Gostaria de ter a oportunidade de aprender sem ter essa oportunidade tirada de mim em algum momento por dificuldades financeiras.,Dedicação total ao movimento de aprendizagem.,Compartilhando conhecimento.,"O compromisso que preciso fazer comigo mesmo é me dedicar totalmente ao meu crescimento profissional, porque meu maior desejo é mudar de vida y sair da escassez dos subempregos. ","Uma trajetória que me traga realização, estabilidade y propósito.",1,Ciente e Quer Continuar
21/10/2025 09:13:56,Estou ciente do escopo do projeto e quero continuar.,G1 - Automações Wix,G4 - SUPABASE (Banco de Dados),"Não, quero apenas executar as atividades",Vejo Tech experience como uma oportunidade de me guiar e abrir novos horizontes para qual carreira dentro desse mundo eu quero seguir.,"Acho que mais interações para conexões, tipo podia ser um gema tal e aí todos falavam e interagir sobre esse tema.","Bem eu trago um pouco de conhecimento de python do qual estou desenvolvendo, e acredito que essa nova jornada vai enriquecer meus conhecimentos como também posso contribuir conhecimento para turma.","Acredito que a conexão vai ser um dos maiores pontos de contribuição nossos, pois podemos passar experiência e conhecimento para os outros.","O TransDevs me mostrou uma realidade que sinceramente eu não achava possível, então eu devo me dedicar totalmente para seguir meu objetivo com a área tech e entendendo mais com esse novo projeto.","Bastante conhecimento, conexões e com certeza ""uma luz no final do túnel"", pois ainda estou um pouco perdido em qual área seguir.",2,Ciente e Quer Continuar
22/10/2025 12:36:57,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)","Sim, me sinto a vontade ajudando quem estiver a frente do grupo","Aprender, de uma maneira prática, mais sobre a área que tem me interessado muito ultimamente. Além, de conhecer novas pessoas e fazer conexões.",Comemorar com todo mundo quando o projeto for finalizado,"Eu tenho alguns conhecimentos de Python, fiz o curso do Transdevs de Python Básico e o da Programaria de ""Análise de dados: Meus primeiros passos em Pyrhon"".","Através do compartilhamento de conhecimentos e experiências, sejam elas diretamente ligadas à área ou não.",Separar um horário da minha rotina para realizar as atividades e também para estudar os assuntos da TechExperience. ,Aprendizado que me ajudará a entrar no mercado de trabalho.,3,Ciente e Quer Continuar
21/10/2025 12:32:47,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,"Não, quero apenas executar as atividades",Aprender mais na prática sobre banco de dados e automação.,"Conhecer pessoas com interesses parecidos aos meus, primeiro com uma dinâmica de quebra-gelo e um dia algo presencial, quem sabe. ","Tenho algum conhecimento em desenvolvimento e banco de dados, mas como faz uns anos que estudei é algum conhecimento mesmo. Sou muito organizado e talvez até metódico. Amo planilhas!! ",A troca de experiências e conhecimento.,"Chegar ao final do projeto, com ele executado e ter orgulho de dizer que fiz algo que vai mudar a vida de pessoas da nossa comunidade.","Aprendizado, experiência e conexão com pessoas.",4,Ciente e Quer Continuar
21/10/2025 08:50:36,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),"Sim, me sinto a vontade ajudando quem estiver a frente do grupo","É realmente sobre aprender novas áreas. Eu já atuo em TI, mas com o tempo percebi que acabei me concentrando demais apenas naquilo que faço hoje. Agora estou buscando conhecer outras áreas e, inclusive, pensando em fazer uma migração.",Acredito que uma interação inicial com todes seria super legal.,"Sou analista de qualidade há mais de 10 anos e já atuei em diversos projetos. Tenho bastante conhecimento na dinâmica de criação de produtos, assim como na avaliação de qualidade.","Trocar experiências, compartilhar diferentes perspectivas e desafios me ajudaria a crescer profissionalmente e também a explorar possibilidades de evolução dentro da minha carreira.",Meu compromisso é dedicar tempo de forma consistente para aprender e compartilhar com o grupo. ,"Muito aprendizado. E como mencionei anteriormente, uma experiência pra tentar uma migração de carreira. ",5,Ciente e Quer Continuar
26/10/2025 14:57:38,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)","Não, quero apenas executar as atividades","Meu grande objetivo no TechExperience é aprender do zero. Ainda não sei nada sobre tecnologia, mas tenho muita vontade de começar e entrar nesse ramo. Quero aproveitar essa oportunidade para entender melhor essa área, aprender novas habilidades e dar meus primeiros passos em uma carreira na tecnologia.","Gostaria de viver momentos de aprendizado prático, como encontros temáticos para conhecer mais sobre tecnologia e entender como tudo funciona na prática. Também seria legal ter dinâmicas de interação e troca de experiências com quem já está na área, pra eu aprender com as histórias e dicas de quem tem mais conhecimento.","Mesmo sem ter conhecimento técnico ainda, trago na minha bagagem muita vontade de aprender, dedicação e curiosidade. Gosto de ajudar e trabalhar em grupo, acredito que juntos é mais fácil crescer e trocar experiências. Acho que minha motivação e disposição pra aprender vão contribuir bastante pra mim e pro grupo ","O grupo pode contribuir me ajudando a aprender, compartilhando experiências e conhecimentos sobre tecnologia. Como estou começando do zero, acredito que cada conversa, dica ou troca de ideia pode fazer muita diferença pra eu entender melhor esse mundo e evoluir junto com todos.","Meu compromisso comigo mesmo é não desistir, mesmo quando eu achar difícil. Quero me dedicar, ter paciência pra aprender e aproveitar ao máximo cada oportunidade do TransDevs. Sei que estou começando do zero, mas quero me esforçar todos os dias pra evoluir e construir meu caminho na tecnologia.
","Espero levar comigo muito aprendizado, novas experiências e mais confiança pra continuar no caminho da tecnologia. Quero sair do projeto com novos conhecimentos, amizades e a certeza de que dei meu primeiro passo em algo que pode se tornar minha futura carreira.",6,Ciente e Quer Continuar
27/10/2025 00:04:48,Estou ciente do escopo do projeto e quero continuar.,G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,"Não, quero apenas executar as atividades",Quero adquirir novos conhecimentos na área ,Nesse momento não consigo pensar em nada específico kkkkk mas amei as ideias da pergunta ,"Trampei uns meses com uma equipe que mexia com análise de dados. Desenvolvi uns designs pra Dashboard de power bi, não sei se será útil ","Acho que ter, ao meu redor, pessoas com o mesmo propósito e vivências parecidas vai ser bem positivo pra essa experiência ",Criar o compromisso de sentar na frente do pc pra estudar e não pra ver meme de gatinho no Twitter (,"Espero adquirir uns conhecimentos legais na área, sair com alguns amigues se possível e criar talvez uma boa rede de contatos e network",7,Ciente e Quer Continuar
20/10/2025 19:37:56,Estou ciente do escopo do projeto e quero continuar.,G2 - API de Orquestração,G1 - Automações Wix,"Não, quero apenas executar as atividades",Desenvolver meu conhecimento e minhas habilidades de programação back-end (ainda sou iniciante) o suficiente para seguir minha jornada com menos dúvidas sobre como estudar sozinho ou em conjunto.,"Algum encontro online para discutir as atividades, falar sobre como os estudos estão indo, ajudar uns aos outros e compartilhar experiências e conteúdos relacionados ao tópico.","Sou capaz de aprender com certa velocidade e tenho empenho, gosto de conhecer novas informações e pessoas, trago conhecimentos de um iniciante em Python e sou capaz de aprender de modo autodidata assim que conheço as estruturas sobre determinado assunto. Desse modo, posso me adaptar bem à maioria das dinâmicas em grupo e não terei medo de pedir ajuda e ajudar.","Troca de informações e experiências sobre o tópico, além da possibilidade de viver uma experiência e aprender na prática.",Sentar em frente ao meu computador todos os dias e estudar Criar um hábito para não contar somente com a minha capacidade de associar informações e desmoronar quando ela não for o suficiente.,"Conhecimento, experiências, conexões, risadas e, talvez o mais importante no momento: maior noção sobre a área com a qual quero trabalhar.",8,Ciente e Quer Continuar
22/10/2025 12:23:45,"Ainda tenho dúvidas, mas quero continuar no projeto.",G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo","Gostaria de ter a experiência de atuar com uma equipe de pessoas trans, e aprender mais sobre desenvolvimento de produtos digitais, tenho alguma experiência e quero me tornar especialista nessa área.","Gostaria de utilizar metodologias ágeis, se possível Scrum e fazer os ritos. Dinâmicas de quebra gelo também são boas ideias","Eu sou Product Manager atualmente, comecei a trabalhar na área de produtos em 2018 como product owner. Tenho experiência em conduzir os ritos do scrum, definição de métricas, análise de comportamento do usuário, etc. tbm tenho experiência com planejamento de tarefas/sprints e acompanhamento ","Me ensinando termos técnicos da área de programação, aprendendo sobre bases de dados ",Preciso dedicar uma quantidade de horas semanais pra ter tempo de focar nisso,"quero conhecer pessoas trans da área, fazer networking, aprender termos e fluxos técnicos de programação ",9,"Dúvidas, mas Quer Continuar"
29/10/2025 08:48:05,Estou ciente do escopo do projeto e quero continuar.,G3 - Integração WhatsApp,G2 - API de Orquestração,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo","Neste momento estou em transição de carreira, e adentrando o mundo do front end, meu propósito é adquirir mais conhecimento pois sou novo na área e fazer networks","Trocar conhecimentos e experiências, pode ser através de dinâmicas ou uma roda de bate papo com algum assunto definido.","Tenho 6 anos de experiência em CX, acredito que com esse olhar mais voltado pra experiência do cliente eu consiga agregar muito no resultado final de um projeto voltado pra usuários ","Me desafiando a aprender mais, me inserindo junto a outras pessoas com conhecimentos diversos para trocarmos experiências",Me dedicar 110%,"Conhecimento, experiência, vivências e novos contatos da área tech.",10,Ciente e Quer Continuar
